time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,ozone,precipAccumulation,city,demand,hour,day_of_week,month,season,kmeans_cluster
1558922400,Mostly Cloudy,partly-cloudy-night,0.0010497416020671,0.01,0.7117247623358985,0.7734369050338893,68.76,0.64,0.565084226646249,0.3776556776556777,0.3476525375403915,0.403899721448468,0.64,0.0,1.0,rain,0.2768683274021352,0.008611082970317,dallas,11662.0,2,0,5,Spring,1
1558926000,Partly Cloudy,partly-cloudy-night,0.000968992248062,0.01,0.6941602535083747,0.7572919046531109,69.58,0.7,0.5620214395099552,0.3666666666666667,0.3875689032503326,0.4122562674094707,0.54,0.0,1.0,rain,0.2797153024911033,0.008611082970317,dallas,11164.0,3,0,5,Spring,1
1558929600,Mostly Cloudy,partly-cloudy-night,0.0007267441860465,0.01,0.6875509280217292,0.7501332724088036,69.8,0.72,0.5574272588055145,0.4,0.4333776848507888,0.4289693593314763,0.67,0.0,1.0,rain,0.2814946619217083,0.008611082970317,dallas,10768.0,4,0,5,Spring,1
1558933200,Mostly Cloudy,partly-cloudy-night,0.0,0.0,0.6816659121774559,0.7313228238519534,70.01,0.74,0.5558958652373676,0.3901098901098901,0.5177722866375214,0.4456824512534819,0.75,0.0,1.0,No Precipitation,0.2832740213523131,0.008611082970317,dallas,10565.0,5,0,5,Spring,4
1558936800,Mostly Cloudy,partly-cloudy-night,0.0007267441860465,0.01,0.6770484382073336,0.7274388850811058,69.92,0.75,0.552833078101072,0.3952380952380952,0.4717734271051131,0.4540389972144847,0.76,0.0,1.0,rain,0.309608540925267,0.008611082970317,dallas,10587.0,6,0,5,Spring,1
1558940400,Mostly Cloudy,partly-cloudy-night,0.0007267441860465,0.01,0.6677229515617926,0.7198233188637575,70.0,0.78,0.5497702909647799,0.4274725274725275,0.5229043908002282,0.4512534818941504,0.78,0.0,1.0,rain,0.3170818505338079,0.008611082970317,dallas,10646.0,7,0,5,Spring,1
1558944000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,0.6553191489361702,0.7096184601325108,69.98,0.82,0.5467075038284843,0.4432234432234432,0.5447633529747197,0.4651810584958217,0.74,0.0,1.0,No Precipitation,0.3227758007117437,0.008611082970317,dallas,10774.0,8,0,5,Spring,1
1558947600,Mostly Cloudy,partly-cloudy-night,0.0011304909560723,0.01,0.635943866002716,0.6936257710760795,69.78,0.87,0.551301684532925,0.4351648351648352,0.5457137426344802,0.4707520891364902,0.79,0.0,1.0,rain,0.3263345195729538,0.008611082970317,dallas,11515.0,9,0,5,Spring,1
1558951200,Mostly Cloudy,partly-cloudy-night,0.0,0.0,0.6258035310095066,0.685477115223517,69.78,0.91,0.5497702909647799,0.4578754578754579,0.55293670404866,0.4735376044568245,0.77,0.0,1.0,No Precipitation,0.3249110320284697,0.008611082970317,dallas,12613.0,10,0,5,Spring,1
1558954800,Mostly Cloudy,partly-cloudy-night,0.000968992248062,0.01,0.6179266636487097,0.6788515726144239,69.54,0.93,0.5589586523736596,0.4241758241758242,0.5181524425014257,0.4763231197771588,0.64,0.0,1.0,rain,0.3209964412811387,0.008611082970317,dallas,13832.0,11,0,5,Spring,6
1558958400,Partly Cloudy,partly-cloudy-day,0.000484496124031,0.01,0.6279764599366229,0.6870002284669865,69.58,0.89,0.565084226646249,0.3164835164835165,0.4445922828359628,0.4596100278551532,0.51,0.0,1.0,rain,0.3469750889679716,0.008611082970317,dallas,14807.0,12,0,5,Spring,6
